,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
437,20161020,3318.6044,3317.1792,3324.9031,3312.1741,3316.2407,2.3637,0.0713,79238871,82481095.28
438,20161021,3327.74,3315.7156,3341.5603,3309.1787,3318.6044,9.1356,0.2753,109785176,107114926.1
439,20161024,3367.5778,3332.5125,3382.8259,3330.9674,3327.74,39.8378,1.1971,153014345,150063007.9
440,20161025,3367.4547,3367.4753,3373.9139,3356.5853,3367.5778,-0.1231,-0.0037,111191693,110576512.9
441,20161026,3354.8003,3365.1975,3367.831,3349.5744,3367.4547,-12.6544,-0.3758,98024786,104719318.2
442,20161027,3345.695,3351.4603,3352.3545,3335.1332,3354.8003,-9.1053,-0.2714,77629851,85241012.41
443,20161028,3340.1262,3347.1438,3370.7485,3337.2888,3345.695,-5.5688,-0.1664,93133309,104797971.4
444,20161031,3336.2778,3332.406,3340.4695,3317.3279,3340.1262,-3.8484,-0.1152,71352863,80701820.97
445,20161101,3359.0515,3338.7099,3359.3941,3334.4568,3336.2778,22.7737,0.6826,74938199,84717683.75
446,20161102,3333.3524,3350.71,3356.3974,3331.3841,3359.0515,-25.6991,-0.7651,91197104,100348995.7
447,20161103,3365.085,3326.9045,3379.9889,3324.8378,3333.3524,31.7326,0.952,126223504,137386468.4
448,20161104,3354.1749,3362.2055,3377.6394,3348.4263,3365.085,-10.9101,-0.3242,104069655,110813764.6
449,20161107,3356.5916,3353.4441,3362.7416,3342.3122,3354.1749,2.4167,0.0721,99877988,94370876.77
450,20161108,3371.1177,3367.6974,3383.9174,3361.1292,3356.5916,14.5261,0.4328,103148282,105138256.1
451,20161109,3353.0547,3370.5999,3373.096,3322.0798,3371.1177,-18.063,-0.5358,139110059,145186921.7
452,20161110,3390.6119,3374.906,3403.0158,3374.906,3353.0547,37.5572,1.1201,134705535,133277399.6
453,20161111,3417.2211,3387.9481,3422.6715,3382.8925,3390.6119,26.6092,0.7848,198781496,190647270
454,20161114,3430.2482,3409.2241,3452.6159,3408.1392,3417.2211,13.0271,0.3812,213247105,208353308.6
455,20161115,3429.8697,3428.8663,3434.9216,3415.9948,3430.2482,-0.3785,-0.011,134566320,135206770.5
456,20161116,3429.5921,3432.4336,3435.6366,3419.2435,3429.8697,-0.2776,-0.0081,129808511,128944599.2
457,20161117,3436.535,3423.4654,3437.669,3412.8771,3429.5921,6.9429,0.2024,121561731,121576882.9
458,20161118,3417.4554,3437.4898,3443.1185,3413.2698,3436.535,-19.0796,-0.5552,115951205,117345607.6
459,20161121,3441.1106,3412.6523,3463.1423,3412.0801,3417.4554,23.6552,0.6922,146434529,147542589.3
460,20161122,3468.3637,3443.2201,3469.2189,3443.2201,3441.1106,27.2531,0.792,168523446,167250665.8
461,20161123,3474.7289,3473.8949,3492.9564,3465.7639,3468.3637,6.3652,0.1835,162388504,171247116.2
462,20161124,3488.7402,3468.8071,3508.1648,3467.0108,3474.7289,14.0113,0.4032,145746301,165071453.5
463,20161125,3521.2984,3490.0399,3521.3029,3463.9477,3488.7402,32.5582,0.9332,153621506,166832181.1
464,20161128,3535.0807,3538.6754,3553.3603,3528.3196,3521.2984,13.7823,0.3914,207375483,219859766.8
465,20161129,3564.0404,3525.9011,3583.7185,3521.3787,3535.0807,28.9597,0.8192,236918356,248322816.3
466,20161130,3538.001,3557.6357,3567.0689,3527.0231,3564.0404,-26.0394,-0.7306,178560178,190681227.6
467,20161201,3565.036,3543.9555,3575.97,3543.245,3538.001,27.035,0.7641,180170761,199637743
468,20161202,3528.9547,3559.7711,3562.5497,3516.7881,3565.036,-36.0813,-1.0121,196355480,203742147.5
469,20161205,3469.4073,3473.6876,3496.8838,3457.3433,3528.9547,-59.5474,-1.6874,180852355,190175061.7
